alarm_id,alarm_name,alarm_text,alarm_code,ce_on,ce_off
429,,CHB1 VV1/SVV1 ON OVERTIME,2,,
430,,CHB4 VV4/SVV4 ON OVERTIME,2,,
431,,BUF1 UP OVERTIME,2,,
432,,BUF1 DOWN OVERTIME,2,,
433,,BUF12 UP OVERTIME,2,,
434,,BUF12 DOWN OVERTIME,2,,
435,,IN-AUX UP OVERTIME,2,,
436,,IN-AUX DOWN OVERTIME,2,,
437,,OUT-AUX UP OVERTIME,2,,
438,,OUT-AUX DOWN OVERTIME,2,,
439,,CHB1 UP OVERTIME,2,,
440,,CHB1 DOWN OVERTIME,2,,
441,,CHB4 UP OVERTIME,2,,
442,,CHB4 DOWN OVERTIME,2,,
443,,C34MFC3(He) ALARM,2,,
444,,C36MFC3(He) ALARM,2,,
445,,C38MFC3(He) ALARM,2,,
446,,BUF3 CLT-U;tmp ctl fau,2,,
447,,BUF3 CLT-M;tmp ctl fau,2,,
448,,BUF3 CLT-D;tmp ctl fau,2,,
449,,BUF10 CLT-U;tmp ctl fau,2,,
450,,BUF9 CLT-M;tmp ctl fau,2,,
451,,BUF9 CLT-D;tmp ctl fau,2,,
452,,C33 Cool-Plate TMP(WRN),2,,
453,,C33 Cool-Plate TMP(ALM),2,,
454,,C35 Cool-Plate TMP(WRN),2,,
455,,C35 Cool-Plate TMP(ALM),2,,
456,,C37 Cool-Plate TMP(WRN),2,,
457,,C37 Cool-Plate TMP(ALM),2,,
458,,C39 Cool-Plate TMP(WRN),2,,
459,,C39 Cool-Plate TMP(ALM),2,,
460,,COOLING MODULE A LEAK,2,,
461,,COOLING MODULE B LEAK,2,,
462,,COOLING MODULE A WAT ALM,2,,
463,,COOLING MODULE B WAT ALM,2,,
464,,COOLING MODULE A UP OVERTIME,2,,
465,,COOLING MODULE A DN OVERTIME,2,,
466,,COOLING MODULE A UP OVERTIME,2,,
467,,COOLING MODULE A DN OVERTIME,2,,
468,,COOLING MODULE B UP OVERTIME,2,,
469,,COOLING MODULE B DN OVERTIME,2,,
470,,COOLING MODULE A TMP UP OVERTIME,2,,
471,,COOLING MODULE A TMP DN OVERTIME,2,,
472,,COOLING MODULE B TMP UP OVERTIME,2,,
473,,COOLING MODULE B TMP DN OVERTIME,2,,
474,,COOL-A POWER NOT OK,2,,
475,,COOL-B POWER NOT OK,2,,
476,, CHB3 CV32 OPEN ALM,2,,
